0.005	0
0.105	0
0.205	0
0.305	0
0.405	0
0.505	0
0.605	0
0.705	0
0.805	0
0.905	0
1.005	0
1.105	0
1.205	0
1.305	0
1.405	0
1.505	0
1.605	0
1.705	0
1.805	0
1.905	0
2.005	0
2.105	0
2.205	0
2.305	0
2.405	0
2.505	0
2.605	0
2.705	0
2.805	0
2.905	1.35677e-05
3.005	0.00143281
3.105	0.0427067
3.205	0.296222
3.305	0.914519
3.405	1.7095
3.505	2.30662
3.605	2.54743
3.705	2.52226
3.805	2.33334
3.905	2.08027
4.005	1.82009
4.105	1.58453
4.205	1.39527
4.305	1.23133
4.405	1.09773
4.505	0.991958
4.605	0.901468
4.705	0.835672
4.805	0.782455
4.905	0.745893
5.005	0.710827
5.105	0.697772
5.205	0.687654
5.305	0.688252
5.405	0.692615
5.505	0.70267
5.605	0.71594
5.705	0.742437
5.805	0.77359
5.905	0.811215
6.005	0.851693
6.105	0.892953
6.205	0.939317
6.305	0.987467
6.405	1.03759
6.505	1.07369
6.605	1.11478
6.705	1.14877
6.805	1.17969
6.905	1.19963
7.005	1.2135
7.105	1.20755
7.205	1.19459
7.305	1.17208
7.405	1.1463
7.505	1.11529
7.605	1.08525
7.705	1.05089
7.805	1.02086
7.905	0.992486
8.005	0.968348
8.105	0.945681
8.205	0.926679
8.305	0.913279
8.405	0.901265
